game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,excluded,n_innings,max_runs,highest_inning,inning_1_runs,inning_2_runs,inning_3_runs,inning_4_runs,inning_5_runs,inning_6_runs,inning_7_runs,inning_8_runs,inning_9_runs,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs
718692,2023-04-05,KC,TOR,118,141,425844.0,666201.0,False,9,2.0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2023,2.119607843137255,11.487096774193548,2.8,4.8,98
718702,2023-04-05,BOS,PIT,111,134,446372.0,656605.0,False,9,3.0,7,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2023,12.77741935483871,5.242857142857143,6.8,3.8,104
718696,2023-04-05,HOU,DET,117,116,664299.0,593958.0,False,9,3.0,8,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,2023,1.3,4.864705882352942,4.333333333333333,3.2,99
718699,2023-04-05,NYY,PHI,147,143,543037.0,605400.0,False,9,3.0,7,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2023,0.43333333333333357,6.5375,5.0,3.2,97
718686,2023-04-06,KC,TOR,118,141,543475.0,592332.0,False,9,3.0,8,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2023,3.492156862745098,1.2666666666666668,2.3333333333333335,4.5,98
718683,2023-04-06,ARI,LAD,109,119,518876.0,669160.0,False,9,2.0,tie,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2023,4.35,2.3857142857142857,3.1666666666666665,6.333333333333333,100
718681,2023-04-06,ATL,SD,144,135,675911.0,605483.0,False,9,5.0,4,1.0,0.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,2023,1.6,-0.5585365853658537,5.333333333333333,4.166666666666667,100
718693,2023-04-07,NYM,MIA,121,146,656731.0,665795.0,False,9,6.0,8,0.0,0.0,2.0,1.0,0.0,1.0,2.0,6.0,0.0,2023,4.1,6.6,3.2857142857142856,2.142857142857143,94
718675,2023-04-07,CHC,TEX,112,140,573186.0,543135.0,False,9,1.0,tie,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2023,1.9333333333333333,1.9000000000000001,5.6,6.0,98
718680,2023-04-07,SF,KC,137,118,502171.0,641745.0,False,9,2.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2023,4.35,3.8142857142857145,6.333333333333333,2.4285714285714284,95
718671,2023-04-07,ARI,LAD,109,119,518516.0,477132.0,False,9,2.0,tie,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2023,9.1,2.2666666666666666,3.0,6.142857142857143,100
718685,2023-04-07,PHI,CIN,143,113,554430.0,668881.0,False,9,2.0,tie,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2023,3.5878048780487806,5.035483870967742,3.0,5.0,102
718677,2023-04-07,CLE,SEA,114,136,650644.0,669302.0,False,9,3.0,6,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2023,2.6714285714285717,3.4333333333333336,5.428571428571429,4.142857142857143,97
718670,2023-04-07,LAA,TOR,108,141,663776.0,605135.0,False,9,3.0,7,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2023,6.1,19.874193548387098,5.5,4.714285714285714,98
718668,2023-04-08,PHI,CIN,143,113,663559.0,666157.0,False,9,4.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2023,4.472549019607843,0.7000000000000002,3.2857142857142856,4.5,102
718660,2023-04-08,MIL,STL,158,138,641778.0,656756.0,False,9,4.0,3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4.472549019607843,2.5,6.0,4.142857142857143,100
718658,2023-04-08,COL,WSH,115,120,596295.0,592866.0,False,9,4.0,9,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,2023,6.6,7.699999999999999,3.5,3.375,112
718669,2023-04-08,CHC,TEX,112,140,657006.0,527048.0,False,9,4.0,8,1.0,0.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,2023,0.9333333333333336,2.138461538461539,5.0,5.142857142857143,98
718656,2023-04-08,ARI,LAD,109,119,605200.0,592789.0,False,9,5.0,1,5.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2023,5.300000000000001,1.1,3.375,5.75,100
718650,2023-04-09,MIL,STL,158,138,642547.0,663765.0,False,9,3.0,7,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,2023,2.2666666666666666,13.34390243902439,5.25,4.375,100
718645,2023-04-09,COL,WSH,115,120,663372.0,641771.0,False,9,7.0,6,0.0,3.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,2023,6.433333333333334,4.7,3.7777777777777777,3.7777777777777777,112
718655,2023-04-09,TB,ATH,139,133,656876.0,621076.0,False,9,4.0,4,1.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,2023,0.7666666666666666,4.9,8.0,3.375,97
718649,2023-04-09,MIN,HOU,142,117,641816.0,686613.0,False,9,2.0,tie,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2023,0.8999999999999999,2.861904761904762,4.5,4.666666666666667,99
718653,2023-04-09,PIT,CWS,134,145,670912.0,656629.0,False,9,1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,13.338095238095237,18.33809523809524,5.125,5.777777777777778,95
718639,2023-04-09,ARI,LAD,109,119,669194.0,675627.0,False,9,5.0,3,3.0,1.0,5.0,3.0,2.0,0.0,0.0,2.0,1.0,2023,6.300000000000001,2.6,4.333333333333333,6.0,100
718631,2023-04-10,LAA,WSH,108,120,660761.0,571578.0,False,9,3.0,4,2.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2023,7.490243902439024,5.655555555555555,6.222222222222222,4.0,98
718632,2023-04-10,PIT,HOU,134,117,672710.0,664285.0,False,9,4.0,2,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2023,2.907692307692308,1.4333333333333333,4.666666666666667,4.7,95
718633,2023-04-10,PHI,MIA,143,146,621381.0,645261.0,False,9,5.0,3,0.0,0.0,5.0,0.0,4.0,4.0,4.0,1.0,0.0,2023,2.35,3.1704225352112676,3.3333333333333335,2.7,102
718629,2023-04-10,COL,STL,115,138,608566.0,571927.0,False,9,4.0,4,0.0,0.0,2.0,4.0,0.0,3.0,1.0,0.0,1.0,2023,5.532432432432433,6.041176470588235,4.1,4.0,112
718623,2023-04-11,PIT,HOU,134,117,656605.0,664299.0,False,9,5.0,9,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2023,3.1892857142857145,1.3727272727272728,4.4,5.3,95
718622,2023-04-11,TOR,DET,141,116,666201.0,666159.0,False,9,5.0,8,0.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,2023,6.16930693069307,5.2153846153846155,5.4,3.0,101
718621,2023-04-11,NYM,SD,121,135,656849.0,677960.0,False,9,3.0,9,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2023,5.766666666666667,2.9,3.9,4.8,94
718611,2023-04-11,ARI,MIL,109,158,518876.0,669203.0,False,9,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2023,4.052380952380952,6.946153846153846,5.1,4.8,100
718619,2023-04-11,PHI,MIA,143,146,605400.0,666200.0,False,9,6.0,6,0.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,1.0,2023,3.5347826086956524,1.8704918032786886,4.5,2.7,102
718614,2023-04-11,LAA,WSH,108,120,660271.0,680686.0,False,9,1.0,tie,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2023,2.35,5.6454545454545455,6.0,4.4,98
718607,2023-04-12,COL,STL,115,138,570632.0,656427.0,False,9,3.0,tie,1.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,2023,16.588372093023253,5.9,4.3,4.0,112
718605,2023-04-12,MIN,CWS,142,145,543243.0,608337.0,False,9,2.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2023,2.0166666666666666,4.655555555555556,4.2,5.3,99
718608,2023-04-12,PIT,HOU,134,117,448179.0,664353.0,False,9,3.0,7,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2023,9.21111111111111,4.198901098901099,4.6,5.1,95
718595,2023-04-12,TEX,KC,140,118,543135.0,641745.0,False,9,4.0,7,1.0,3.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,2023,1.6294117647058823,3.7382978723404254,5.5,3.4,103
718590,2023-04-13,NYY,MIN,147,142,666745.0,657746.0,False,9,9.0,1,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2023,2.4000000000000004,3.35,5.1,4.3,97
718597,2023-04-13,CIN,PHI,113,143,666157.0,663559.0,False,9,3.0,3,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2023,0.6000000000000001,4.684158415841584,4.5,4.1,105
718587,2023-04-14,TOR,TB,141,139,621244.0,656876.0,False,9,4.0,5,1.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2023,2.882608695652174,0.7923076923076926,5.3,8.0,101
718586,2023-04-14,CIN,PHI,113,143,656818.0,592836.0,False,9,4.0,tie,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,2023,5.6,5.148192771084338,4.5,4.2,105
718581,2023-04-14,HOU,TEX,117,140,677651.0,527048.0,False,9,3.0,tie,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2023,6.211111111111111,2.903921568627451,5.2,4.0,99
718579,2023-04-14,KC,ATL,118,144,663903.0,450203.0,False,9,5.0,1,5.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2023,3.827272727272727,4.783168316831683,4.0,4.8,98
718592,2023-04-14,WSH,CLE,120,114,592866.0,615698.0,False,9,3.0,4,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2023,4.585148514851485,4.1869565217391305,4.1,4.7,99
718576,2023-04-15,BOS,LAA,111,108,601713.0,542881.0,False,9,6.0,1,6.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,2023,4.8,6.825490196078432,4.3,4.8,104
718573,2023-04-15,WSH,CLE,120,114,641771.0,668676.0,False,9,3.0,tie,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2023,7.1,5.35,4.2,4.5,99
718566,2023-04-15,CIN,PHI,113,143,668933.0,621381.0,False,9,5.0,8,0.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,0.0,2023,3.023076923076923,1.7666666666666668,4.5,4.9,105
718567,2023-04-15,MIA,ARI,146,109,666129.0,669194.0,False,9,3.0,7,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2023,0.480952380952381,4.554545454545455,3.8,5.5,93
718565,2023-04-15,ATH,NYM,133,121,660261.0,471911.0,False,9,2.0,tie,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2023,5.358064516129033,9.197560975609756,4.3,5.1,97
718560,2023-04-15,SD,MIL,135,158,607625.0,642547.0,False,9,4.0,1,4.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,2023,3.176923076923077,2.2666666666666666,4.2,5.1,96
718553,2023-04-16,CWS,BAL,145,110,656302.0,680570.0,False,9,4.0,1,4.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2023,2.78944099378882,2.330769230769231,5.1,5.4,101
718551,2023-04-16,KC,ATL,118,144,425844.0,657140.0,False,9,4.0,3,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,2023,3.9074534161490684,7.1,3.6,5.5,98
718544,2023-04-17,MIA,SF,146,137,666200.0,657277.0,False,9,3.0,3,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2023,2.7703296703296703,4.1,3.9,5.0,93
718536,2023-04-17,ATH,CHC,133,112,666205.0,669713.0,False,9,4.0,tie,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,2023,4.1563380281690145,12.345283018867923,4.0,5.7,97
718539,2023-04-17,KC,TEX,118,140,543475.0,594798.0,False,9,3.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3.5878048780487806,0.939506172839506,4.0,5.3,98
718538,2023-04-17,STL,ARI,138,109,656427.0,518876.0,False,9,5.0,7,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2023,5.219205298013245,4.627777777777778,3.8,5.0,99
